country,code,tfr_early,ctfr_early,te_early,tfr_recent,ctfr_recent,te_recent,delta_tfr,delta_ctfr,timing_contrib,cbpi,region
Germany,DEU,1.3507525,1.539640387716609,-0.18888788771660903,1.2889825,1.4847675294437157,-0.19578502944371567,0.0617700000000001,0.05487285827289323,0.006897141727106648,,Europe
Ghana,GHA,5.826387499999999,5.632846735381252,0.19354076461874836,4.1435675,4.151669198877013,-0.00810169887701262,1.6828199999999995,1.481177536504239,0.20164246349576098,0.1198241425082665,Sub-Saharan Africa
Gibraltar,GIB,2.353785,2.5974140074451797,-0.2436290074451799,1.80995,2.0953113787973825,-0.2853613787973823,0.5438349999999998,0.5021026286477972,0.041732371352202424,0.07673719299457085,Europe
Greece,GRC,2.1169824999999998,1.9091165344085308,0.2078659655914692,1.278675,1.5264053104914557,-0.24773031049145577,0.8383074999999998,0.3827112239170751,0.45559627608292497,0.5434715496198294,Europe
Greenland,GRL,2.1001374999999998,2.4212867202222714,-0.32114922022227155,2.0340300000000004,2.0866864236389464,-0.05265642363894618,0.06610749999999932,0.334600296583325,-0.26849279658332537,,Other
Grenada,GRD,3.0982225,3.310103843726985,-0.21188134372698486,2.11078,2.1520990775113473,-0.041319077511347,0.9874424999999998,1.1580047662156376,-0.17056226621563786,-0.17273134001791285,Latin America
Guadeloupe,GLP,3.031075,2.978829790765884,0.052245209234115686,2.024685,2.1381562722383634,-0.1134712722383634,1.0063900000000001,0.8406735185275207,0.16571648147247908,0.16466427674408438,Other
Guam,GUM,3.1232474999999997,3.1557338241443462,-0.03248632414434649,2.5001100000000003,2.6914317796200944,-0.1913217796200941,0.6231374999999995,0.46430204452425183,0.15883545547574762,0.2548963197941831,Other
Guatemala,GTM,5.5635625,5.53385633795199,0.029706162048010132,3.9012399999999996,3.7519338466098646,0.1493061533901352,1.6623225000000001,1.7819224913421254,-0.11959999134212507,-0.07194752603187712,Latin America
Guernsey,GGY,1.5385275,1.6892395052552946,-0.1507120052552946,1.349885,1.4664633552535933,-0.11657835525359339,0.18864250000000005,0.22277615000170137,-0.03413365000170121,,Europe
Guinea,GIN,5.31528,5.350292211569576,-0.035012211569575236,4.912075,4.825523397527368,0.08655160247263227,0.4032049999999998,0.5247688140422078,-0.12156381404220751,-0.3014938159055755,Other
Guinea-Bissau,GNB,5.3348475,5.385002090416872,-0.05015459041687187,4.8347774999999995,4.840971375978368,-0.00619387597836818,0.5000700000000009,0.5440307144385041,-0.04396071443850369,-0.08790912159998322,Sub-Saharan Africa
Guyana,GUY,3.8120675000000004,3.7487613924196825,0.0633061075803174,2.4168425,2.4162903571418095,0.0005521428581904964,1.3952250000000004,1.332471035277873,0.06275396472212691,0.04497766648542485,Latin America
Haiti,HTI,5.16819,5.06068555123863,0.10750444876136989,3.8347225,3.8192639551000847,0.015458544899915161,1.3334675000000002,1.2414215961385455,0.09204590386145473,0.06902748200571421,Latin America
Honduras,HND,5.9336075,5.703097423885784,0.23051007611421603,3.4600049999999998,3.3770367260382828,0.08296827396171724,2.4736025,2.326060697847501,0.1475418021524988,0.05964652855602255,Latin America
Hong Kong,HKG,2.573065,2.5054724512254274,0.06759254877457277,0.9440550000000001,1.1925130216878093,-0.24845802168780906,1.62901,1.3129594295376181,0.31605057046238183,0.1940138921568203,East Asia & Pacific
Hungary,HUN,1.6877125,1.6288553814495894,0.05885711855041065,1.1864474999999999,1.5131123654513077,-0.3266648654513077,0.5012650000000001,0.11574301599828174,0.38552198400171833,0.7690981496847342,Europe
Iceland,ISL,2.3378699999999997,2.412534968688082,-0.07466496868808226,1.9127325,2.1090411288258655,-0.19630862882586553,0.4251374999999997,0.3034938398622167,0.12164366013778327,0.28612780603400867,Europe
India,IND,4.2552275,3.900943937899103,0.3542835621008973,2.695995,2.6837672348408175,0.012227765159182669,1.5592325000000002,1.2171767030582856,0.3420557969417146,0.21937446592584145,South Asia
Indonesia,IDN,4.2275425,3.8582736154591553,0.36926888454084494,2.2384875,2.3653346191645515,-0.1268471191645515,1.989055,1.4929389962946038,0.49611600370539644,0.24942296905082886,East Asia & Pacific
Iran,IRN,5.4165425,5.594883369387249,-0.17834086938724925,1.770835,2.30981939410304,-0.5389843941030401,3.6457075000000003,3.285063975284209,0.36064352471579086,0.0989227810283164,Middle East & N. Africa
